DC1,2020/01/12,1020
DC2,2020/01/12,1020
DC3,2020/01/12,1020
DC4,2020/01/12,1020
DC5,2020/01/12,1020
DC6,2020/01/12,1020
DC7,2020/01/12,1020
DC8,2020/01/12,1020
DC9,2020/01/12,1020
DC10,2020/01/12,1020
DC1,2020/01/13,1020
DC2,2020/01/13,1020
DC3,2020/01/13,1020
DC4,2020/01/13,1020
DC5,2020/01/13,1020
DC6,2020/01/13,1020
DC7,2020/01/13,1020
DC8,2020/01/13,1020
DC9,2020/01/13,20
DC10,2020/01/13,20
DC1,2020/01/14,1020
DC2,2020/01/14,1020
DC3,2020/01/14,1020
DC4,2020/01/14,1020
DC5,2020/01/14,1020
DC6,2020/01/14,1020
DC7,2020/01/14,1020
DC8,2020/01/14,1020
DC9,2020/01/14,1020
DC10,2020/01/14,320
DC1,2021/01/14,120
DC2,2021/01/14,120
DC3,2021/01/14,120
DC4,2021/01/14,120
DC5,2021/01/14,120
DC6,2021/01/14,1500
DC7,2021/01/14,1500
DC8,2021/01/14,1500
DC9,2021/01/14,1500
DC10,2021/01/14,1500
DC1,2021/01/15,120
DC2,2021/01/15,120
DC3,2021/01/15,120
DC4,2021/01/15,120
DC5,2021/01/15,120
DC6,2021/01/15,1500
DC7,2021/01/15,1500
DC8,2021/01/15,1500
DC9,2021/01/15,1500
DC10,2021/01/15,1500
